"Data file recorded 2023/8/27  12:31:48"
" time  hx711, qdec3, qdec5, adc8,  adc9, adc10, adc11, adc12, adc13, adc14, adc15"
# Hello World 7/11/23 from main()
# LED0 initialized PA5
# led_init: success. Wait for LED blink
# Starting print thread
# printq access blocked by other thread. msg = # printq test message- hello from main.c 
# Clock cycles per second 96000000
 # End DAC init. Using PA4. DAC_MAX=4095 and DAC channel 1
# End ADC init PB0 PB1 PC0 PC1 PC2 PC3 PC4 PC5
# End PWM init. TIM1 PA8 PA9 PA10 PA11, TIM4 PB6 PB7 PB8 PB9, PWM13 PA6, PWM14 PA7
# End HX711 init TIM2 Ch4 PB2 as PD_SCK and PB5 as DOUT input
# End qdec inputs init. TIM3 PC6 PC7, TIM5 PA0 PA1 (32 bit)
# Starting heartbeat thread
# Starting uart input thread
# Starting hx711 thread
# Starting control thread
# Starting print_state thread
# Starting uart input thread: at tick 0.331803 
 # Starting hx711_thread
 # Starting print_state thread: at tick 32501203 (5000 ms PRNWAIT)
 #      t=,    hx711, qdec3, qdec5, adc8,  adc9, adc10, adc11, adc12, adc13, adc14, adc15  
    0.0000,        0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     0
 # Starting control thread: at tick 41454889 
 # Name                State     Priority   Stack         size     cycles
#      print_state   suspended      120 	20002ca0 	4096 	 37115
#   control_thread      queued       10 	20000e80 	4000 	 776004
#     hx711_thread      queued       90 	20001fa0 	1024 	 15215963
#     input_thread      queued       64 	20002480 	1952 	 302836
#        heartbeat   suspended       32 	20001ea0 	128 	 909
#     print_thread      queued      100 	20003d20 	1024 	 2080743
#          idle 00                   15 	20004620 	320 	 33573519
#             main      queued        0 	200041a0 	1024 	 3005425
# Name                State     Priority   Stack         size     cycles
#      print_state   suspended      120 	20002ca0 	4096 	 37115
#   control_thread      queued       10 	20000e80 	4000 	 799814
#     hx711_thread      queued       90 	20001fa0 	1024 	 15482611
#     input_thread      queued       64 	20002480 	1952 	 308666
#        heartbeat   suspended       32 	20001ea0 	128 	 909
#     print_thread      queued      100 	20003d20 	1024 	 2082062
#          idle 00                   15 	20004620 	320 	 33658898
#             main      queued        0 	200041a0 	1024 	 5503489
# STM32READY
 # Input_thread count 0 time 1.270729 cmd = PRNWAIT value = 100
 # PRNWAIT changed from 5000 to 100 ms 
 # Input_thread count 1 time 4.280534 cmd = PFRQ1 value = 1500
 # Input_thread count 2 time 4.296034 cmd = PFRQ2 value = -1500
    5.3441,        0,     0,     0, 1333,  1181,  1547,  1534,  1700,  2651,  1806,  1806
 # Input_thread count 3 time 5.382935 cmd = PFRQ1 value = 936
 # Input_thread count 4 time 5.409434 cmd = PFRQ2 value = -936
    5.4486,        0,     0,     0,  921,  1013,   792,   744,   598,   881,  1050,  1050
 # Input_thread count 5 time 5.482134 cmd = PFRQ1 value = 916
 # Input_thread count 6 time 5.497634 cmd = PFRQ2 value = -916
    5.5498,        0,     0,     0,  938,  1067,   809,   765,   658,   507,   910,   910
 # Input_thread count 7 time 5.598928 cmd = PFRQ1 value = 897
 # Input_thread count 8 time 5.616634 cmd = PFRQ2 value = -897
    5.6510,        0,     0,     0,  880,   906,   852,   904,   857,   559,   813,   813
 # Input_thread count 9 time 5.698134 cmd = PFRQ1 value = 877
 # Input_thread count 10 time 5.714730 cmd = PFRQ2 value = -877
    5.7533,        0,     0,     0,  931,   766,  1017,  1083,  1078,   650,   754,   754
 # Input_thread count 11 time 5.799631 cmd = PFRQ1 value = 857
 # Input_thread count 12 time 5.815132 cmd = PFRQ2 value = -857
    5.8534,        0,     0,     0,  969,   813,  1004,  1067,  1094,   692,   895,   895
 # Input_thread count 13 time 5.903234 cmd = PFRQ1 value = 838
 # Input_thread count 14 time 5.918733 cmd = PFRQ2 value = -838
    5.9546,        0,     0,     0, 1135,  1218,  1153,  1158,  1157,   735,   969,   969
 # Input_thread count 15 time 5.984831 cmd = PFRQ1 value = 818
 # Input_thread count 16 time 5.999234 cmd = PFRQ2 value = -818
    6.0558,        0,     0,     0, 1131,  1051,  1151,  1235,  1223,   822,  1109,  1109
 # Input_thread count 17 time 6.085131 cmd = PFRQ1 value = 797
 # Input_thread count 18 time 6.105034 cmd = PFRQ2 value = -797
    6.1581,        0,     0,     0, 1027,  1019,  1055,  1130,  1158,   796,   925,   925
 # Input_thread count 19 time 6.208529 cmd = PFRQ1 value = 777
 # Input_thread count 20 time 6.224028 cmd = PFRQ2 value = -777
    6.2604,        0,     0,     0, 1181,   932,  1409,  1424,  1577,  1518,  1152,  1152
 # Input_thread count 21 time 6.300134 cmd = PFRQ1 value = 756
 # Input_thread count 22 time 6.315634 cmd = PFRQ2 value = -756
    6.3606,        0,     0,     0, 1354,  1213,  1587,  1584,  1691,  1719,  1527,  1527
 # Input_thread count 23 time 6.410329 cmd = PFRQ1 value = 736
 # Input_thread count 24 time 6.431334 cmd = PFRQ2 value = -736
    6.4607,        0,     0,     0, 1330,  1131,  1603,  1596,  1754,  1859,  1437,  1437
 # Input_thread count 25 time 6.484234 cmd = PFRQ1 value = 715
 # Input_thread count 26 time 6.499734 cmd = PFRQ2 value = -715
    6.5619,        0,     0,     0, 1461,  1299,  1781,  1784,  1994,  2569,  1939,  1939
 # Input_thread count 27 time 6.601028 cmd = PFRQ1 value = 695
 # Input_thread count 28 time 6.616528 cmd = PFRQ2 value = -695
    6.6620,        0,     0,     0, 1498,  1471,  1796,  1778,  1984,  2641,  1937,  1937
 # Input_thread count 29 time 6.715633 cmd = PFRQ1 value = 674
 # Input_thread count 30 time 6.732229 cmd = PFRQ2 value = -674
    6.7633,        0,     0,     0, 1499,  1524,  1688,  1648,  1746,  2694,  2148,  2148
